ID,v,h
582,214,68.7045,13313.54383
583,214,49.8313,12578.12558
584,214,88.0635,12778.87676
585,214,105.8462,12361.83829
586,214,110.3056,11656.79165
587,214,69.3537,11508.35841
588,214,70.5208,11630.5217
589,214,93.3446,11975.85564
590,214,111.3541,11912.02202
591,214,120.0813,10817.30268
592,214,111.1555,10790.91357
593,214,67.1631,11651.79148
594,214,126.3771,12568.39994
595,214,120.8944,11964.50645
596,214,98.1522,11717.98122
597,214,82.7795,12300.6309
598,214,80.8396,12308.73155
599,214,95.814,11557.38484
600,214,78.3904,11646.5836
601,214,68.7762,11290.79208
602,214,62.4016,11506.50445
603,214,70.5561,10624.67502
604,214,81.0106,11720.71924
605,214,76.4898,12855.62823
606,214,88.6604,11481.21344
607,214,61.4057,11598.87424
608,214,68.2563,11169.72607
609,214,89.2973,12626.78646
610,214,83.0226,12463.53524
611,214,86.8573,12639.88405
612,214,68.1467,14959.93296
613,214,132.5652,14198.55689
614,214,83.7898,11834.45948
615,214,89.376,10969.08853
616,214,103.2608,10333.53188
617,214,77.2777,11466.18402
618,214,77.9628,10863.57932
619,214,89.4215,11905.47092
620,214,55.9223,6930.869736
621,214,43.2957,9137.617712
622,214,41.6671,6607.677205
623,214,107.5437,17266.72096
624,214,176.1197,12932.92015
625,214,146.7783,36099.60755
626,214,117.5725,15736.33234
627,214,169.1305,10153.10002
628,214,643.0694,7961.748198
629,216,157.0783,20342.14086
630,216,138.1729,20452.27929
631,216,163.4599,19417.9743
632,216,114.7488,21563.35441
633,216,84.7827,22188.54562
634,216,185.0546,21476.12723
635,216,252.9194,21798.76312
636,216,289.241,20977.56232
637,216,134.55,19926.51829
638,216,74.301,11240.79482
639,216,208.5403,8531.689568
640,216,205.1079,8990.037363
641,216,150.4623,8954.163668
642,216,133.6482,10855.45356
643,216,81.4412,11667.64817
644,216,73.4378,12982.44392
645,216,74.5969,12051.44765
646,216,75.1782,11589.9268
647,216,71.8595,13530.43554
648,216,61.3203,15703.4882
649,216,53.6618,12433.71951
650,216,62.9938,13146.70173
651,216,50.4739,12331.35444
652,216,47.5273,11072.07313
653,216,55.6085,11524.91785
654,216,131.2995,10684.87365
655,216,106.6312,25359.30585
656,216,99.7369,10039.60397
657,216,93.2054,26717.47031
658,216,91.1093,17106.3913
659,216,85.4344,10694.34691
660,216,99.1104,9099.102514
661,216,77.9297,17668.9341
662,216,83.6996,18554.57879
663,216,96.0624,11253.41117
664,216,78.5451,9802.744483
665,216,83.4161,10755.80928
666,216,175.6393,11262.82963
667,216,89.0183,14652.37042
668,216,69.8037,13878.89534
669,216,80.1224,17123.97471
670,216,28.4334,9166.252581
671,216,17.0041,10080.09885
